Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7674375,46.6430625","24.961072,46.6987871",4 PM,31.8 km,31.0,43.0
"24.7674375,46.6430625","24.961072,46.6987871",4 PM,32.4 km,34.0,45.0
"24.7674375,46.6430625","24.961072,46.6987871",4 PM,34.5 km,32.0,37.6
"24.7674375,46.6430625","24.961072,46.6987871",5 PM,31.8 km,31.0,43.0
"24.7674375,46.6430625","24.961072,46.6987871",5 PM,33.1 km,34.5,41.5
"24.7674375,46.6430625","24.961072,46.6987871",5 PM,34.5 km,32.0,41.714285714285715
"24.7674375,46.6430625","24.961072,46.6987871",6 AM,31.8 km,31.0,26.833333333333332
"24.7674375,46.6430625","24.961072,46.6987871",6 PM,31.8 km,31.0,37.25
"24.7674375,46.6430625","24.961072,46.6987871",6 PM,33.1 km,35.0,37.5
"24.7674375,46.6430625","24.961072,46.6987871",6 PM,34.5 km,32.0,34.25
"24.7674375,46.6430625","24.961072,46.6987871",7 AM,31.8 km,31.0,27.5
"24.7674375,46.6430625","24.961072,46.6987871",7 PM,31.8 km,31.0,36.0
"24.7674375,46.6430625","24.961072,46.6987871",7 PM,34.5 km,32.0,32.0
"24.7674375,46.6430625","24.961072,46.6987871",8 AM,31.8 km,31.0,28.0
"24.7674375,46.6430625","24.961072,46.6987871",9 AM,31.8 km,31.0,28.333333333333332
"24.7930073,46.8364015","24.7102105,46.6283024",1 PM,27.8 km,26.5,33.5
"24.7930073,46.8364015","24.7102105,46.6283024",1 PM,32.3 km,35.0,42.0
"24.7930073,46.8364015","24.7102105,46.6283024",10 AM,27.8 km,26.0,32.0
"24.7930073,46.8364015","24.7102105,46.6283024",2 PM,27.8 km,26.0,31.75
"24.7930073,46.8364015","24.7102105,46.6283024",3 PM,27.8 km,26.0,35.25
"24.7930073,46.8364015","24.7102105,46.6283024",4 PM,27.8 km,26.0,34.333333333333336
"24.7930073,46.8364015","24.7102105,46.6283024",4 PM,28.3 km,29.0,33.0
"24.7930073,46.8364015","24.7102105,46.6283024",5 PM,27.8 km,26.0,32.5
"24.7930073,46.8364015","24.7102105,46.6283024",6 AM,27.8 km,26.0,38.333333333333336
"24.7930073,46.8364015","24.7102105,46.6283024",6 AM,28.5 km,29.0,44.0
