Origin,Destination,Start Address,End Address,Distance,Duration,Request Time,Duration with Traffic,Hours,Minutes,Duration in min,Traffic Duration in min
"24.8296182,46.616385","24.6459853,46.7146782","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","3227 الملك سعود، 8561, Al Futah, Riyadh 12632, Saudi Arabia",41.6 km,47 mins,17:21,1 hour 10 mins,60,10,47,70
"24.8296182,46.616385","24.7674375,46.6430625","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia",16.7 km,24 mins,17:21,28 mins,0,28,24,28
"24.8296182,46.616385","24.7221189,46.8611355","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","RQNB5135، 5135 احمد علي الرفاعي، 7005، حي النسيم الشرقي، الرياض 14244, Saudi Arabia",45.1 km,49 mins,17:21,1 hour 3 mins,60,3,49,63
"24.8296182,46.616385","24.5914692,46.5433147","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia",39.7 km,35 mins,17:21,1 hour 2 mins,60,2,35,62
"24.961072,46.6987871","24.7012889,46.8298925","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia","3313 طريق الأمير سعد بن عبدالرحمن الأول، 8613, السعادة، الرياض 14255, Saudi Arabia",48.7 km,47 mins,17:21,58 mins,0,58,47,58
"24.961072,46.6987871","24.7674375,46.6430625","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia",31.2 km,24 mins,17:21,33 mins,0,33,24,33
"24.7674375,46.6430625","24.961072,46.6987871","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia",34.5 km,32 mins,17:21,43 mins,0,43,32,43
"24.7674375,46.6430625","24.7930073,46.8364015","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","Al Cheikh Issa Ibn Salman Al Khalifah, Al Maizilah, Riyadh 13235, Saudi Arabia",32.0 km,33 mins,17:21,57 mins,0,57,33,57
"24.7674375,46.6430625","24.7102105,46.6283024","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","PJ6H+38M, Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh 12371, Saudi Arabia",17.7 km,17 mins,17:21,21 mins,0,21,17,21
"24.7674375,46.6430625","24.7221189,46.8611355","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","RQNB5135، 5135 احمد علي الرفاعي، 7005، حي النسيم الشرقي، الرياض 14244, Saudi Arabia",36.8 km,35 mins,17:21,1 hour 4 mins,60,4,35,64
"24.7674375,46.6430625","24.5914692,46.5433147","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia",30.4 km,29 mins,17:21,47 mins,0,47,29,47
"24.7406772,46.6947625","24.7930073,46.8364015","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","Al Cheikh Issa Ibn Salman Al Khalifah, Al Maizilah, Riyadh 13235, Saudi Arabia",19.8 km,21 mins,17:21,36 mins,0,36,21,36
"24.7406772,46.6947625","24.7102105,46.6283024","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","PJ6H+38M, Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh 12371, Saudi Arabia",15.1 km,15 mins,17:21,30 mins,0,30,15,30
"24.7406772,46.6947625","24.8296182,46.616385","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia",22.9 km,25 mins,17:21,38 mins,0,38,25,38
"24.7406772,46.6947625","24.5601699,46.7762684","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","7926-7832 Mohammad Rashid Rida, Ad Dar Al Baida, Riyadh 14519, Saudi Arabia",33.6 km,37 mins,17:21,1 hour 10 mins,60,10,37,70
"24.5914692,46.5433147","24.5601699,46.7762684","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia","7926-7832 Mohammad Rashid Rida, Ad Dar Al Baida, Riyadh 14519, Saudi Arabia",35.8 km,40 mins,17:21,43 mins,0,43,40,43
"24.5914692,46.5433147","24.8296182,46.616385","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia",37.8 km,34 mins,17:21,48 mins,0,48,34,48
"24.5914692,46.5433147","24.7674375,46.6430625","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia",29.5 km,33 mins,17:21,39 mins,0,39,33,39
