Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7674375,46.6430625","24.7221189,46.8611355",4 PM,39.9 km,44.0,55.0
"24.7674375,46.6430625","24.7221189,46.8611355",5 PM,35.3 km,32.0,64.75
"24.7674375,46.6430625","24.7221189,46.8611355",5 PM,36.6 km,40.0,59.333333333333336
"24.7674375,46.6430625","24.7221189,46.8611355",5 PM,36.8 km,35.5,63.0
"24.7674375,46.6430625","24.7221189,46.8611355",5 PM,37.7 km,41.0,60.0
"24.7674375,46.6430625","24.7221189,46.8611355",5 PM,39.2 km,40.0,69.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 AM,35.3 km,32.0,29.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 AM,38.2 km,33.0,30.5
"24.7674375,46.6430625","24.7221189,46.8611355",6 AM,39.7 km,36.0,33.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,35.3 km,32.0,57.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,36.8 km,35.5,56.5
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,37.4 km,39.0,54.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,37.5 km,36.0,50.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,37.7 km,40.5,56.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,38.4 km,39.0,55.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,43.6 km,41.0,49.0
"24.7674375,46.6430625","24.7221189,46.8611355",6 PM,43.8 km,38.0,50.0
"24.7674375,46.6430625","24.7221189,46.8611355",7 AM,35.3 km,32.0,37.8
"24.7674375,46.6430625","24.7221189,46.8611355",7 AM,39.7 km,36.0,34.0
"24.7674375,46.6430625","24.7221189,46.8611355",7 PM,35.3 km,32.0,52.0
"24.7674375,46.6430625","24.7221189,46.8611355",7 PM,43.8 km,38.0,51.0
"24.7674375,46.6430625","24.7221189,46.8611355",8 AM,35.3 km,32.0,32.0
"24.7674375,46.6430625","24.7221189,46.8611355",9 AM,35.3 km,32.0,32.5
"24.7674375,46.6430625","24.7930073,46.8364015",1 PM,33.3 km,28.0,36.5
"24.7674375,46.6430625","24.7930073,46.8364015",1 PM,37.2 km,36.0,35.0
"24.7674375,46.6430625","24.7930073,46.8364015",2 PM,33.3 km,28.0,41.0
"24.7674375,46.6430625","24.7930073,46.8364015",2 PM,35.3 km,33.0,36.0
"24.7674375,46.6430625","24.7930073,46.8364015",2 PM,37.2 km,36.0,37.0
"24.7674375,46.6430625","24.7930073,46.8364015",3 PM,33.3 km,28.0,39.0
"24.7674375,46.6430625","24.7930073,46.8364015",3 PM,34.8 km,31.0,41.5
"24.7674375,46.6430625","24.7930073,46.8364015",3 PM,37.2 km,36.0,40.0
"24.7674375,46.6430625","24.7930073,46.8364015",4 PM,32.9 km,39.0,54.0
"24.7674375,46.6430625","24.7930073,46.8364015",4 PM,33.3 km,28.0,57.0
"24.7674375,46.6430625","24.7930073,46.8364015",4 PM,34.8 km,31.0,50.0
"24.7674375,46.6430625","24.7930073,46.8364015",4 PM,35.3 km,34.0,42.0
"24.7674375,46.6430625","24.7930073,46.8364015",4 PM,35.8 km,37.0,45.5
"24.7674375,46.6430625","24.7930073,46.8364015",5 PM,32.0 km,33.0,55.0
"24.7674375,46.6430625","24.7930073,46.8364015",5 PM,33.3 km,28.0,57.0
"24.7674375,46.6430625","24.7930073,46.8364015",5 PM,34.6 km,36.0,52.0
"24.7674375,46.6430625","24.7930073,46.8364015",5 PM,34.8 km,32.0,56.0
"24.7674375,46.6430625","24.7930073,46.8364015",5 PM,36.4 km,36.0,52.0
"24.7674375,46.6430625","24.7930073,46.8364015",5 PM,37.2 km,36.0,52.0
"24.7674375,46.6430625","24.7930073,46.8364015",6 AM,33.3 km,28.0,26.666666666666668
"24.7674375,46.6430625","24.7930073,46.8364015",6 PM,32.0 km,33.0,41.0
"24.7674375,46.6430625","24.7930073,46.8364015",6 PM,32.9 km,38.0,45.0
"24.7674375,46.6430625","24.7930073,46.8364015",6 PM,33.3 km,28.0,48.5
"24.7674375,46.6430625","24.7930073,46.8364015",6 PM,34.8 km,31.0,39.0
"24.7674375,46.6430625","24.7930073,46.8364015",6 PM,35.8 km,37.0,46.0
"24.7674375,46.6430625","24.7930073,46.8364015",6 PM,36.4 km,35.0,43.5
"24.7674375,46.6430625","24.7930073,46.8364015",7 AM,33.3 km,28.0,29.0
"24.7674375,46.6430625","24.7930073,46.8364015",7 PM,33.3 km,28.0,40.0
"24.7674375,46.6430625","24.7930073,46.8364015",7 PM,34.8 km,31.0,41.0
"24.7674375,46.6430625","24.7930073,46.8364015",8 AM,33.3 km,28.0,27.0
"24.7674375,46.6430625","24.7930073,46.8364015",9 AM,33.3 km,28.0,28.166666666666668
"24.7674375,46.6430625","24.961072,46.6987871",1 PM,31.8 km,31.0,33.333333333333336
"24.7674375,46.6430625","24.961072,46.6987871",1 PM,34.5 km,32.0,30.0
"24.7674375,46.6430625","24.961072,46.6987871",2 PM,34.5 km,32.0,30.25
"24.7674375,46.6430625","24.961072,46.6987871",3 PM,31.8 km,31.0,35.0
"24.7674375,46.6430625","24.961072,46.6987871",3 PM,34.5 km,32.0,32.333333333333336
